fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,total_acidity,acidity_ratio,sulfur_ratio,alcohol_density_ratio
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,8.1,10.556348074179745,0.32351989647363316,9.420725596311886
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,8.68,8.853575482406356,0.37312875927224964,9.831460674157304
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,8.6,10.249671484888305,0.2777726338401141,9.829488465396189
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,12.04,39.857651245551594,0.2833286111898135,9.819639278557116
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,8.1,10.556348074179745,0.32351989647363316,9.420725596311886
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,8.06,11.195158850226928,0.32499187520311995,9.420725596311886
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,8.56,13.144758735440933,0.2542329791020491,9.433962264150944
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,7.95,11.213517665130567,0.7142517022998904,10.054293183189221
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,8.399999999999999,13.425129087779691,0.49997222376534634,9.530497592295346
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,7.36,11.531841652323582,0.23076568052799187,9.237875288683602
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,6.215,9.09090909090909,0.27118184437551907,9.95675349492105
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,8.7,12.76595744680851,0.31033412640943414,9.123721676358532
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,9.34,30.249110320284693,0.3398025261890661,10.532651218778213
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,8.299999999999999,19.437340153452684,0.3239390994493035,9.71749148467241
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,8.540000000000001,18.329466357308586,0.2702629658657874,9.53241019466185
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,9.1,17.311608961303463,0.13432635333800988,9.430176565008026
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,7.44,17.206982543640898,0.5249868753281168,9.731139646869982
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,6.85,16.11253196930946,0.4782400765184122,9.342039176293321
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,8.25,18.491484184914842,0.36360330879011,9.536237703272436
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,7.81,9.985935302390999,0.3999885717550927,9.426393902928199
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,8.445,12.074303405572754,0.4999687519530029,9.835407466880772
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,7.445,9.911242603550296,0.20731454494457383,10.142598915444868
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,9.075,12.652439024390244,0.132742188122229,9.833433674493277
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,5.7700000000000005,16.1993769470405,0.25999480010399795,9.23973084262328
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,8.445,12.074303405572754,0.2777623465363035,9.61345884237933
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,8.540000000000001,12.978369384359402,0.1999866675554963,10.827067669172932
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,8.76,21.259842519685037,0.4333188893703543,9.731139646869982
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,8.11,16.186252771618623,0.1379294490867921,10.52315093205051
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,9.71,14.402618657937808,0.3695571835394883,9.322373696872495
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,8.98,12.254160363086232,0.39128733533324633,10.3330658105939
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,9.065,8.226495726495726,0.19298076332663747,9.227683049147442
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,9.72,13.313161875945537,0.1739054823703317,9.22675759703139
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,7.159999999999999,12.667946257197695,0.5332977801479901,9.44154278826838
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,7.14,13.173652694610778,0.4285408185129634,9.442491210447011
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,9.34,22.572178477690287,0.2520987218594802,9.42828485456369
