Feature,LinearRegression_Coefficient,LinearRegression_Abs_Coefficient,Ridge_Coefficient,Ridge_Abs_Coefficient,Lasso_Coefficient,Lasso_Abs_Coefficient,ElasticNet_Coefficient,ElasticNet_Abs_Coefficient,Average_Importance
alcohol,5.037192015761716,5.037192015761716,0.14495061963144987,0.14495061963144987,0.2287050050424237,0.2287050050424237,0.12921607693682186,0.12921607693682186,1.3850159293431028
alcohol_density_ratio,-4.799759762778842,4.799759762778842,0.1362041207128764,0.1362041207128764,0.0,0.0,0.12356264571838395,0.12356264571838395,1.2648816323025256
sulphates,0.17079607994933985,0.17079607994933985,0.1710445541595912,0.1710445541595912,0.1037353414643305,0.1037353414643305,0.1288330502896821,0.1288330502896821,0.1436022564657359
volatile acidity,-0.16502471591743192,0.16502471591743192,-0.1626950407407094,0.1626950407407094,-0.07466476269234458,0.07466476269234458,-0.08462770100018095,0.08462770100018095,0.12175305508766672
sulfur_ratio,0.08165391158340207,0.08165391158340207,0.08027290308950644,0.08027290308950644,0.0,0.0,0.009576099659326365,0.009576099659326365,0.04287572858305872
citric acid,-0.07210881653191607,0.07210881653191607,-0.07072049574921334,0.07072049574921334,0.0,0.0,0.0,0.0,0.03570732807028235
acidity_ratio,0.018348181949928703,0.018348181949928703,0.019596995341615357,0.019596995341615357,0.036009163069072564,0.036009163069072564,0.05927976086410985,0.05927976086410985,0.03330852530618162
density,-0.10749509060457192,0.10749509060457192,-0.02005583039016347,0.02005583039016347,-0.0,0.0,-0.0,0.0,0.03188773024868385
free sulfur dioxide,-0.05974251542456859,0.05974251542456859,-0.05682025834701418,0.05682025834701418,-0.0,0.0,-0.0,0.0,0.029140693442895695
fixed acidity,0.05159151554154635,0.05159151554154635,0.04986578177319179,0.04986578177319179,0.0,0.0,0.0,0.0,0.025364324328684535
pH,-0.038366020964694054,0.038366020964694054,-0.03982331831863652,0.03982331831863652,-0.0,0.0,-0.0,0.0,0.019547334820832644
total sulfur dioxide,0.01941135929379161,0.01941135929379161,0.016485754039582003,0.016485754039582003,-0.0,0.0,-0.013644274968614699,0.013644274968614699,0.012385347075497079
total_acidity,0.024166026648622024,0.024166026648622024,0.02291961187312045,0.02291961187312045,0.0,0.0,0.0,0.0,0.011771409630435619
residual sugar,0.018000743265341394,0.018000743265341394,0.01785436237311858,0.01785436237311858,0.0,0.0,0.0,0.0,0.008963776409614994
chlorides,0.011634207131233896,0.011634207131233896,0.012063598955020106,0.012063598955020106,-0.0,0.0,-0.0,0.0,0.005924451521563501
