feature,coefficient,abs_coefficient
alcohol,0.12921607693682186,0.12921607693682186
sulphates,0.1288330502896821,0.1288330502896821
alcohol_density_ratio,0.12356264571838395,0.12356264571838395
volatile acidity,-0.08462770100018095,0.08462770100018095
acidity_ratio,0.05927976086410985,0.05927976086410985
total sulfur dioxide,-0.013644274968614699,0.013644274968614699
sulfur_ratio,0.009576099659326365,0.009576099659326365
fixed acidity,0.0,0.0
citric acid,0.0,0.0
residual sugar,0.0,0.0
chlorides,-0.0,0.0
free sulfur dioxide,-0.0,0.0
density,-0.0,0.0
pH,-0.0,0.0
total_acidity,0.0,0.0
